Document.ZVSPaymentArchive.PayInf.Amt;amount
Document.ZVSPaymentArchive.PayInf.Amt.[Ccy];currency
Document.ZVSPaymentArchive.PayInf.DlvrdExctDt;delivered_execution_date
Document.ZVSPaymentArchive.PayInf.InSttlmInf.Amt;input_settlement_info_amount
Document.ZVSPaymentArchive.PayInf.InSttlmInf.Amt.[Ccy];input_settlement_info_currency
Document.ZVSPaymentArchive.PayInf.TxRef.TxId;transaction_id
Document.ZVSPaymentArchive.PayInf.TxRef.InstrIdExt;instruction_identification_external
Document.ZVSPaymentArchive.PayInf.TxRef.ClrRefNumTx;clearing_reference_number_of_transaction
Document.ZVSPaymentArchive.PayInf.TxRef.OrgnlRef.OrgnlTxId;original_transaction_id
Document.ZVSPaymentArchive.PayInf.TxRef.ClrSysRef;clearing_system_reference
Document.ZVSPaymentArchive.PayInf.TxRef.UETR;unique_end_to_end_transaction_reference
Document.ZVSPaymentArchive.PayInf.TxRef.OrgnlUETR;original_unique_end_to_end_transaction_reference
Document.ZVSPaymentArchive.PayInf.TxRef.EndToEndId;end_to_end_identification_of_original_transaction
Document.ZVSPaymentArchive.PayInf.InFile.FileRef.FileId;input_file_file_identification
Document.ZVSPaymentArchive.PayInf.InOrd.OrdRef.OrdId;input_order_id
Document.ZVSPaymentArchive.PayInf.InOrd.OrdType;input_order_order_type
Document.ZVSPaymentArchive.PayInf.OutOrd.OrdRef.OrdId;output_order_id
Document.ZVSPaymentArchive.PayInf.InFile.Id;input_file_id
Document.ZVSPaymentArchive.PayInf.OutFile.Id;output_file_id
Document.ZVSPaymentArchive.PayInf.OutFile.FmtGrpNm;output_file_format_group_name
Document.ZVSPaymentArchive.PayInf.Subm.IBAN;submitter_iban
Document.ZVSPaymentArchive.PayInf.Subm.AgtBIC;submitter_bic
Document.ZVSPaymentArchive.PayInf.Subm.NatAcc;submitter_account_in_national_format
Document.ZVSPaymentArchive.PayInf.Recv.IBAN;receiver_iban
Document.ZVSPaymentArchive.PayInf.Recv.AgtBIC;receiver_bic
Document.ZVSPaymentArchive.PayInf.Recv.NatAcc;receiver_account_in_national_format
Document.ZVSPaymentArchive.PayInf.GenProcInf.Embgo.Result;embargo_result
Document.ZVSPaymentArchive.PayInf.Purp;payment_purpose
Document.ZVSPaymentArchive.PayInf.InOrd.LogFmtNm;payment_input_order_logical_format
Document.ZVSPaymentArchive.PayInf.OutOrd.LogFmtNm;payment_output_order_logical_format
Document.ZVSPaymentArchive.PayInf.RTxInf.InRsnCd;reject_return_reason_code
Document.ZVSPaymentArchive.PayInf.ChrgBr;charge_bearer
Document.ZVSPaymentArchive.PayInf.RmtInf.Ustrd;remittance_info_unstructured
Document.ZVSPaymentArchive.PayInf.GenProcInf.ManInv.ChgType;manual_intervention_manual_approval_chgtype
Document.ZVSPaymentArchive.PayInf.GenProcInf.ManInv.Action;manual_intervention_manual_approval_action
Document.ZVSPaymentArchive.PayInf.GenProcInf.RjctDetect;reject_detected
